Event ID,Player Name,Team Name,Statsbomb Xg,End Location X,End Location Y,End Location Z,Follows Dribble,First Time,Open Goal,Deflected,Technique ID,Technique Name,Body Part ID,Body Part Name,Type ID,Type Name,Outcome ID,Outcome Name,Match ID,Season Name,Competition Name
7fd93552-2068-48a0-bd78-ec1b003a1995,Philippe Coutinho Correia,Barcelona,0.10987921,116.9,36.4,1.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
9aae99ea-0553-4a40-b870-4803bcb86454,Philippe Coutinho Correia,Barcelona,0.032995112,120.0,33.3,0.3,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15973,2018/2019,La Liga
7cb554cc-8471-48a0-8554-7c9e5ed2b493,Lionel Andrés Messi Cuccittini,Barcelona,0.06906999,119.1,43.1,1.5,False,False,False,False,91,Half Volley,38,Left Foot,87,Open Play,116,Saved to Post,15973,2018/2019,La Liga
8eb9ac64-a904-488d-b0d3-a1e9855b7526,Luis Carlos Correia Pinto,Huesca,0.023184594,120.0,34.6,4.2,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,98,Off T,15973,2018/2019,La Liga
8943cd69-3a21-4546-aaa2-1910d694a4af,Ousmane Dembélé,Barcelona,0.1321927,120.0,43.6,0.2,False,True,False,False,93,Normal,38,Left Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
1234479e-0600-4070-89fa-d3338b4d5965,Luis Alberto Suárez Díaz,Barcelona,0.2068451,115.2,32.5,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
c27decaf-0b9c-4a4e-a63b-d4550b78af58,Ivan Rakitić,Barcelona,0.04555216,120.0,36.8,0.8,False,True,False,False,91,Half Volley,40,Right Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
d07ba2c0-3332-42d7-83d0-0a9c1f9b5120,Sergi Roberto Carnicer,Barcelona,0.19316751,120.0,45.6,0.9,False,True,False,False,91,Half Volley,38,Left Foot,87,Open Play,98,Off T,15973,2018/2019,La Liga
e3e93c18-7e18-4a1c-a700-53b0e96caab3,Philippe Coutinho Correia,Barcelona,0.42463356,113.7,37.1,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
1466c82c-a41d-49dd-adfc-5720a4cadac6,Philippe Coutinho Correia,Barcelona,0.037576083,97.8,33.7,,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,96,Blocked,15973,2018/2019,La Liga
22e034dd-bf7c-4cdc-94b7-3479353dece1,Gerard Piqué Bernabéu,Barcelona,0.2401919,120.0,34.9,3.1,False,False,False,False,93,Normal,37,Head,87,Open Play,98,Off T,15973,2018/2019,La Liga
5873978b-67fc-4e02-bdc1-6695e758a463,Lionel Andrés Messi Cuccittini,Barcelona,0.2742397,120.0,43.4,0.2,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
eacc68a7-060b-4de9-a8a2-dae6ecc792f0,Ivan Rakitić,Barcelona,0.03064228,120.0,31.0,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15973,2018/2019,La Liga
67a0991c-2bb2-486f-86b7-f40e32897978,Luis Ezequiel Ávila,Huesca,0.008128383,120.0,32.9,0.3,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15973,2018/2019,La Liga
1a5a3d12-94a0-46e6-b03c-5d292c93b592,Lionel Andrés Messi Cuccittini,Barcelona,0.062529676,120.0,45.1,2.7,False,False,False,False,93,Normal,38,Left Foot,62,Free Kick,98,Off T,15973,2018/2019,La Liga
0b9a9323-02b3-4f56-bb30-a21ffff04d5c,Jordi Alba Ramos,Barcelona,0.34831178,120.0,40.9,0.2,False,True,False,False,93,Normal,38,Left Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
116a3bd2-2cea-4e31-bc78-885dc6aef8fc,Arturo Erasmo Vidal Pardo,Barcelona,0.046713583,120.0,46.1,5.8,False,False,False,False,91,Half Volley,40,Right Foot,87,Open Play,98,Off T,15973,2018/2019,La Liga
