Match ID,Player Name,Position ID,Start From,End To,From Period,To Period,Start Reason,End Reason
16010,Sergio Busquets i Burgos,9,57:07,,2,,Tactical Shift,Final Whistle
16010,Jordi Alba Ramos,6,00:00,,1,,Starting XI,Final Whistle
16010,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
16010,Luis Alberto Suárez Díaz,23,00:00,,1,,Starting XI,Final Whistle
16010,Ivan Rakitić,15,00:00,57:07,1,2,Starting XI,Tactical Shift
16010,Ivan Rakitić,11,57:07,,2,,Tactical Shift,Final Whistle
16010,Ousmane Dembélé,17,00:00,79:23,1,2,Starting XI,Substitution - Off (Tactical)
16010,Lionel Andrés Messi Cuccittini,13,54:32,57:07,2,2,Substitution - On (Tactical),Tactical Shift
16010,Lionel Andrés Messi Cuccittini,19,57:07,,2,,Tactical Shift,Final Whistle
16010,Nélson Cabral Semedo,2,00:00,,1,,Starting XI,Final Whistle
16010,Sergi Roberto Carnicer,10,00:00,50:13,1,2,Starting XI,Substitution - Off (Tactical)
16010,Munir El Haddadi Mohamed,17,79:23,,2,,Substitution - On (Tactical),Final Whistle
16010,Clément Lenglet,5,00:00,,1,,Starting XI,Final Whistle
16010,Arturo Erasmo Vidal Pardo,13,00:00,54:32,1,2,Starting XI,Substitution - Off (Tactical)
16010,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
16023,Francis Joseph Coquelin,11,78:29,,2,,Substitution - On (Tactical),Final Whistle
16023,Michy Batshuayi Tunga,22,00:00,,1,,Starting XI,Final Whistle
16023,Gonçalo Manuel Ganchinho Guedes,16,00:00,07:21,1,1,Starting XI,Player Off
16023,Gonçalo Manuel Ganchinho Guedes,16,10:07,11:02,1,1,Player On,Substitution - Off (Injury)
16023,Denis Cheryshev,16,11:02,,1,,Substitution - On (Injury),Final Whistle
16023,Rodrigo Moreno Machado,24,66:09,,2,,Substitution - On (Tactical),Final Whistle
16023,Kevin Gameiro,24,00:00,66:09,1,2,Starting XI,Substitution - Off (Tactical)
16023,Carlos Soler Barragán,12,00:00,,1,,Starting XI,Final Whistle
